Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1976,100,Female,South atlantic,$8000 to 9999,Pretty happy,Not applicable
1976,101,Male,E. nor. central,$1000 to 2999,Pretty happy,Very happy
1976,102,Female,South atlantic,$20000 - 24999,Pretty happy,Not applicable
1976,103,Male,E. sou. central,$1000 to 2999,Pretty happy,Not applicable
1976,104,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,105,Female,E. sou. central,$1000 to 2999,Not too happy,Pretty happy
1976,106,Female,E. sou. central,$1000 to 2999,Very happy,Not applicable
1976,107,Female,E. sou. central,$1000 to 2999,Pretty happy,Not applicable
1976,108,Male,E. sou. central,$6000 to 6999,Very happy,Not applicable
1976,109,Male,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1976,110,Female,E. sou. central,$8000 to 9999,Pretty happy,Very happy
1976,111,Male,E. sou. central,$15000 - 19999,Very happy,Very happy
1976,112,Female,W. sou. central,$20000 - 24999,Pretty happy,Pretty happy
1976,113,Male,W. sou. central,$4000 to 4999,Pretty happy,Very happy
1976,114,Male,W. sou. central,Refused,Very happy,Very happy
1976,115,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1976,116,Male,W. sou. central,Refused,Pretty happy,Very happy
1976,117,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1976,118,Male,W. sou. central,$7000 to 7999,Pretty happy,Very happy
1976,119,Male,W. sou. central,$5000 to 5999,Very happy,Pretty happy
1976,120,Female,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1976,121,Female,E. nor. central,$5000 to 5999,Pretty happy,Not applicable
1976,122,Female,W. sou. central,$1000 to 2999,Pretty happy,Not applicable
1976,123,Female,W. sou. central,$3000 to 3999,Very happy,Not applicable
1976,124,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1976,125,Male,Foreign,Don't know,Pretty happy,Very happy
1976,126,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1976,127,Female,W. sou. central,$8000 to 9999,Pretty happy,Pretty happy
1976,128,Female,South atlantic,$6000 to 6999,Pretty happy,Pretty happy
1976,129,Female,Mountain,$10000 - 14999,Pretty happy,Very happy
1976,130,Female,W. nor. central,$1000 to 2999,Pretty happy,Not applicable
1976,131,Male,Pacific,$15000 - 19999,Pretty happy,Pretty happy
1976,132,Female,Mountain,$10000 - 14999,Pretty happy,Pretty happy
1976,133,Male,Mountain,$3000 to 3999,Pretty happy,Not applicable
1976,134,Female,Mountain,$10000 - 14999,Pretty happy,Pretty happy
1976,135,Female,Mountain,$25000 or more,Pretty happy,Very happy
1976,136,Female,Mountain,Don't know,Very happy,Very happy
1976,137,Male,Pacific,$25000 or more,Pretty happy,Very happy
1976,138,Male,Pacific,$20000 - 24999,Very happy,Very happy
1976,139,Male,Pacific,$6000 to 6999,Pretty happy,Very happy
1976,140,Female,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1976,141,Female,Pacific,$10000 - 14999,Very happy,Not applicable
1976,142,Male,Pacific,$10000 - 14999,Pretty happy,Not applicable
1976,143,Male,Pacific,$4000 to 4999,Pretty happy,Not applicable
1976,144,Male,Foreign,$1000 to 2999,Pretty happy,Not applicable
1976,145,Female,Pacific,$15000 - 19999,Pretty happy,Very happy
1976,146,Male,E. nor. central,$6000 to 6999,Very happy,Very happy
1976,147,Male,Pacific,$20000 - 24999,Pretty happy,Not applicable
1976,148,Male,Foreign,$8000 to 9999,Pretty happy,Not applicable
1976,149,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1976,150,Male,W. sou. central,$10000 - 14999,Very happy,Very happy
1976,151,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1976,152,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1976,153,Female,W. nor. central,$15000 - 19999,Very happy,Very happy
1976,154,Male,Mountain,$1000 to 2999,Pretty happy,Very happy
1976,155,Female,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1976,156,Female,Pacific,$5000 to 5999,Pretty happy,Not applicable
1976,157,Female,Middle atlantic,$7000 to 7999,Not too happy,Very happy
1976,158,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1976,159,Female,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1976,160,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1976,161,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,162,Male,Middle atlantic,$6000 to 6999,Pretty happy,Not applicable
1976,163,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not too happy
1976,164,Female,Middle atlantic,$4000 to 4999,Not too happy,Not applicable
1976,165,Female,Middle atlantic,Refused,Pretty happy,Not applicable
1976,166,Female,Middle atlantic,Refused,Very happy,Very happy
1976,167,Male,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,168,Female,Middle atlantic,Refused,Not too happy,Pretty happy
1976,169,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1976,170,Female,Middle atlantic,$8000 to 9999,Very happy,Not applicable
1976,171,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,172,Female,Middle atlantic,$10000 - 14999,Not too happy,Pretty happy
1976,173,Female,E. nor. central,$5000 to 5999,Pretty happy,Not applicable
1976,174,Female,E. nor. central,Refused,Pretty happy,Pretty happy
1976,175,Female,E. nor. central,$4000 to 4999,Pretty happy,Not applicable
1976,176,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1976,177,Male,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1976,178,Female,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1976,179,Female,E. nor. central,Refused,Very happy,Very happy
1976,180,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1976,181,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1976,182,Female,E. nor. central,$8000 to 9999,Very happy,Not applicable
1976,183,Male,E. nor. central,$20000 - 24999,Very happy,Very happy
1976,184,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1976,185,Male,South atlantic,$8000 to 9999,Very happy,Not applicable
1976,186,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1976,187,Female,South atlantic,$3000 to 3999,Not too happy,Not applicable
1976,188,Female,South atlantic,$6000 to 6999,Pretty happy,Very happy
1976,189,Male,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1976,190,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,191,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1976,192,Female,South atlantic,Refused,Pretty happy,Very happy
1976,193,Female,South atlantic,$3000 to 3999,Very happy,Very happy
1976,194,Female,South atlantic,Don't know,Very happy,Pretty happy
1976,195,Male,South atlantic,$7000 to 7999,Very happy,Very happy
1976,196,Female,South atlantic,$25000 or more,Very happy,Not applicable
1976,197,Female,South atlantic,$5000 to 5999,Very happy,Not applicable
1976,198,Female,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1976,199,Female,E. nor. central,$1000 to 2999,Not too happy,Not applicable
1976,200,Female,Pacific,$10000 - 14999,Very happy,Very happy
1976,201,Female,Middle atlantic,Refused,Pretty happy,Not applicable
1976,202,Female,South atlantic,$8000 to 9999,Pretty happy,Pretty happy
1976,203,Male,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1976,204,Female,Mountain,$10000 - 14999,Very happy,Very happy
1976,205,Male,Middle atlantic,$10000 - 14999,Not too happy,Pretty happy
1976,206,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1976,207,Male,Pacific,$10000 - 14999,Pretty happy,Very happy
1976,208,Female,Pacific,$10000 - 14999,Very happy,Very happy
1976,209,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1976,210,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1976,211,Female,W. nor. central,$15000 - 19999,Very happy,Very happy
1976,212,Male,E. nor. central,$4000 to 4999,Pretty happy,Not applicable
1976,213,Female,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1976,214,Male,E. nor. central,$25000 or more,Pretty happy,Not applicable
1976,215,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1976,216,Male,E. nor. central,$4000 to 4999,Pretty happy,Not applicable
1976,217,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1976,218,Male,W. nor. central,$1000 to 2999,Pretty happy,Not applicable
1976,219,Female,W. nor. central,$8000 to 9999,Very happy,Very happy
1976,220,Female,W. nor. central,$10000 - 14999,Very happy,Very happy
1976,221,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1976,222,Male,E. nor. central,$1000 to 2999,Not too happy,Not applicable
1976,223,Male,W. nor. central,$5000 to 5999,Pretty happy,Not applicable
1976,224,Male,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1976,225,Male,W. nor. central,$25000 or more,Very happy,Very happy
1976,226,Female,W. nor. central,$3000 to 3999,Not too happy,Not applicable
1976,227,Male,W. nor. central,$4000 to 4999,Very happy,Not applicable
1976,228,Male,South atlantic,$1000 to 2999,Pretty happy,Very happy
1976,229,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1976,230,Female,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1976,231,Female,E. sou. central,Don't know,Pretty happy,Pretty happy
1976,232,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1976,233,Female,South atlantic,$1000 to 2999,Very happy,Not applicable
1976,234,Female,South atlantic,$15000 - 19999,Very happy,Very happy
1976,235,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,236,Female,W. sou. central,$4000 to 4999,Very happy,Very happy
1976,237,Male,W. sou. central,Lt $1000,Not too happy,Very happy
1976,238,Male,South atlantic,$5000 to 5999,Pretty happy,Pretty happy
1976,239,Female,South atlantic,$7000 to 7999,Pretty happy,Very happy
1976,240,Male,South atlantic,$8000 to 9999,Pretty happy,Pretty happy
1976,241,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,242,Male,South atlantic,$15000 - 19999,Not too happy,Very happy
1976,243,Male,South atlantic,$1000 to 2999,Pretty happy,Very happy
1976,244,Male,E. sou. central,$15000 - 19999,Very happy,Very happy
1976,245,Male,E. sou. central,$3000 to 3999,Not too happy,Very happy
1976,246,Male,E. sou. central,$6000 to 6999,Pretty happy,Very happy
1976,247,Male,E. sou. central,$25000 or more,Pretty happy,Not applicable
1976,248,Female,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1976,249,Male,E. sou. central,$10000 - 14999,Very happy,Very happy
1976,250,Female,New england,$5000 to 5999,Not too happy,Not applicable
1976,251,Female,Foreign,$20000 - 24999,Very happy,Very happy
1976,252,Female,New england,Don't know,Very happy,Very happy
1976,253,Female,Pacific,$7000 to 7999,Very happy,Pretty happy
1976,254,Female,New england,$15000 - 19999,Very happy,Very happy
1976,255,Female,New england,$8000 to 9999,Not too happy,Not too happy
1976,256,Female,New england,$3000 to 3999,Pretty happy,Not applicable
1976,257,Female,South atlantic,$20000 - 24999,Pretty happy,Pretty happy
1976,258,Male,New england,$20000 - 24999,Very happy,Very happy
1976,259,Male,Pacific,$25000 or more,Very happy,Very happy
1976,260,Female,Middle atlantic,$8000 to 9999,Not too happy,Pretty happy
1976,261,Male,New england,$25000 or more,Pretty happy,Pretty happy
1976,262,Female,Foreign,$8000 to 9999,Pretty happy,Very happy
1976,263,Male,South atlantic,$3000 to 3999,Very happy,Not applicable
1976,264,Female,South atlantic,Don't know,Pretty happy,Pretty happy
1976,265,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1976,266,Male,New england,$25000 or more,Pretty happy,Pretty happy
1976,267,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1976,268,Female,Foreign,$7000 to 7999,Pretty happy,Not applicable
1976,269,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1976,270,Female,Foreign,$1000 to 2999,Pretty happy,Not applicable
1976,271,Female,Middle atlantic,$1000 to 2999,Not too happy,Not applicable
1976,272,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,273,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1976,274,Male,New england,$15000 - 19999,Pretty happy,Very happy
1976,275,Male,Foreign,$10000 - 14999,Not too happy,Pretty happy
1976,276,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,277,Female,Middle atlantic,Refused,Not too happy,Not applicable
1976,278,Female,Pacific,$25000 or more,Very happy,Very happy
1976,279,Male,Middle atlantic,$15000 - 19999,Very happy,Pretty happy
1976,280,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,281,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1976,282,Male,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,283,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,284,Female,Middle atlantic,$5000 to 5999,Very happy,Very happy
1976,285,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,286,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,287,Male,Middle atlantic,$6000 to 6999,Very happy,Pretty happy
1976,288,Female,Foreign,$10000 - 14999,Very happy,Very happy
1976,289,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,290,Male,Foreign,$3000 to 3999,Pretty happy,Not applicable
1976,291,Male,Foreign,$10000 - 14999,Pretty happy,Not applicable
1976,292,Male,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1976,293,Male,Foreign,$6000 to 6999,Not too happy,Pretty happy
1976,294,Male,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,295,Female,South atlantic,$5000 to 5999,Not too happy,Not applicable
1976,296,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1976,297,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,298,Female,Middle atlantic,Don't know,Not too happy,Not applicable
1976,299,Female,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1976,300,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,301,Female,Foreign,Don't know,Very happy,Pretty happy
1976,302,Male,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1976,303,Female,Middle atlantic,$5000 to 5999,Not too happy,Not applicable
1976,304,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1976,305,Male,Middle atlantic,$3000 to 3999,Not too happy,Very happy
1976,306,Male,Middle atlantic,$5000 to 5999,Very happy,Very happy
1976,307,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,308,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,309,Female,Middle atlantic,$3000 to 3999,Pretty happy,Very happy
1976,310,Female,Mountain,$15000 - 19999,Pretty happy,Very happy
1976,311,Male,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1976,312,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,313,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,314,Male,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1976,315,Male,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1976,316,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1976,317,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,318,Female,Middle atlantic,$6000 to 6999,Very happy,Pretty happy
1976,319,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,320,Female,Middle atlantic,$8000 to 9999,Not too happy,Not applicable
1976,321,Female,Middle atlantic,$1000 to 2999,Very happy,Not applicable
1976,322,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1976,323,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1976,324,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1976,325,Male,Middle atlantic,$10000 - 14999,Not too happy,Pretty happy
1976,326,Female,Foreign,$7000 to 7999,Very happy,Very happy
1976,327,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1976,328,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1976,329,Female,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1976,330,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1976,331,Female,Middle atlantic,$20000 - 24999,Not too happy,Not too happy
1976,332,Male,New england,$25000 or more,Very happy,Very happy
1976,333,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1976,334,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1976,335,Female,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1976,336,Female,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1976,337,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,338,Female,Middle atlantic,Refused,Pretty happy,Pretty happy
1976,339,Male,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1976,340,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1976,341,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1976,342,Male,Foreign,$25000 or more,Pretty happy,Pretty happy
1976,343,Female,E. nor. central,$25000 or more,Very happy,Very happy
1976,344,Female,Foreign,$25000 or more,Pretty happy,Not applicable
1976,345,Male,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1976,346,Female,E. nor. central,Don't know,Not too happy,Not applicable
1976,347,Male,E. nor. central,$1000 to 2999,Not too happy,Very happy
1976,348,Female,W. nor. central,$10000 - 14999,Very happy,Not applicable
1976,349,Female,W. sou. central,Refused,Pretty happy,Not applicable
